ID,geometry,alt_name,ele,gnis:feature_id,name,name:ru,place,tourism,wikidata,name:zh,name:zh-Hant,wikipedia,wheelchair,amenity,attraction,gnis:county_id,gnis:created,gnis:state_id,architect,artist_name,artwork_type,historic,start_date,website,website:alternate,artwork_subject,material,addr:housenumber,addr:postcode,addr:street,phone,addr:city,addr:country,addr:state,gnis:county_name,gnis:import_uuid,gnis:reviewed,lgbtq,source,sport,building,building:colour,building:levels,building:material,height,nycdoitt:bin,roof:material,roof:shape,addr:floor,opening_hours,name:es,email,internet_access,internet_access:fee,smoking,fee,leisure,access,name:fr,artist:wikidata,image,memorial,note,wikimedia_commons,artist:wikipedia,subject:wikidata,subject:wikipedia,brand,brand:wikidata,noexit,branch,operator,rooms,old_name,air_conditioning,bar,reservation,barrier,board_type,information,species:wikidata,species:wikipedia,official_name,description,name:hr,internet_access:ssid,emergency,operator:wikidata,operator:wikipedia,covered,check_date,fax,flickr,short_name,shop,level,contact:website,cuisine,name:en,name:zh-Hans,date,display,faces,addr:unit,fixme,contact:facebook,contact:instagram,fitness_centre,postal_code,swimming_pool,ref,ref:nrhp,contact:email,dof,source_ref,subject:description,statue,dog,museum,operator:type,artist,breakfast,payment:cash,payment:credit_cards,payment:debit_cards,year_of_construction,inscription,opening_hours:covid19,inscription_1,inscription_2,backrest,toilets:wheelchair,alt_name:en,alt_name:fr,contact:yelp,disused:website,source:name,contact:pinterest,contact:twitter,wifi,subject,name:ko,payment:american_express,payment:mastercard,payment:visa,toilets,direction,name:it,link,map_size,map_type,name:de,capacity,sculptor,facebook,bench,indoor,lit,sms,video,natural,species,species:en,tree:diameter,type,payment:diners_club,payment:discover_card,toilets:unisex,contact:fax,contact:phone,architect:wikidata,name:etymology:wikidata,motor_vehicle,toilets:access,location,man_made,opening_hours:url,board:title,layer,polling_station,construction:tourism,architect:wikipedia,old_name:etymology:wikidata,old_old_name,description:en,internet,bicycle_parking,min_height,colour,model,survey:date,fountain,network,parking,payment:contactless,pets,guide_type,level:ref,room,cost,office,wikimedia_commons_1,nodes,maxspeed,surface,tiger:cfcc,tiger:county,tiger:name_base,tiger:zip_left,tiger:zip_right,oneway,tiger:name_type,tiger:reviewed,name_1,sidewalk:both,tiger:name_base_1,tiger:name_type_1,addr:full,check_date:opening_hours,heritage,heritage:operator,lpc:inscription_date,name:ja,name:tr,nrhp:inscription_date,ref:lpc,building:part,importance,landmark,monument,name:af,name:ar,name:azb,name:ba,name:be,name:cs,name:da,name:el,name:et,name:eu,name:fi,name:he,name:hi,name:hu,name:kaa,name:lt,name:nl,name:pl,name:pt,name:ro,name:sk,name:sl,name:sr,name:sv,name:tt,name:uk,name:ur,official_name:en,roof:colour,seamark:landmark:category,government,building:architecture,building:use,construction_date,name:zh_pinyin,short_name:de,short_name:es,short_name:fr,short_name:pl,ship:type,seasonal,disused:tourism,area,team,team_2,construction,smoothness,heritage:website,nrhp:criteria,protection_title,nrhp:nhl,payment:carte_blanche,payment:jcb,payment:union_pay,business_centre,addr:district,pets_allowed,fee:conditional,old_name:es,religion,cat,addr:housename,designation,name:fa,old_name:-2006,old_name:2006-2019,instagram,notable_tenant:wikidata,twitter,not:brand:wikidata,laundry_service,old_nycdoitt:bin,payment:unionpay,wheelchair:rooms,building:levels:underground,loc_name,name:ast,operator:short,operator:website,ref:isil,name:kn,denomination,service:bicycle:rental,tourism_1,building:name,building:start_date,building:wikidata,building:wikipedia,museum:start_date,owner,diocese,rooms:wheelchair,landuse,bin,sauna,tower:type,zoo,bridge,manufacturer,maxweight,bridge:structure,alt_name:cs,alt_name:es,mapillary,aerialway,url,url:1,drinking_water,name:bg,name:ml,seamark:platform:category,seamark:type,closed,tunnel,ways,addr:place,bicycle,old_railway_operator
684,POINT (-73.9853239 40.7277885),,,,Link NYC,,,information,,,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,POINT (-73.9869802 40.7250442),,,,Link NYC,,,information,,,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,no,26/02/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,POINT (-73.9859761 40.7262691),,,,Link NYC,,,information,,,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,POINT (-73.9845711 40.7240435),,,,,,,artwork,,,,,,,,,,,,,mural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,POINT (-73.968396 40.7615889),,,,Link NYC,,,information,,,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,POINT (-73.9687421 40.7617188),,,,Link NYC,,,information,,,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,POINT (-73.9732511 40.7551042),,,,Link NYC,,,information,,,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,POINT (-73.9716811 40.7577798),,,,Link NYC,,,information,,,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,POINT (-73.9715541 40.7569073),,,,Link NYC,,,information,,,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,no,13/12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,POINT (-73.9555038 40.756205),,,,Graduate Roosevelt Island,,,hotel,,,,,,,,,,,,,,,,https://www.graduatehotels.com/roosevelt-island/,,,,22,,North Loop Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graduate,Q85846030,,,,,,,,,,,,,,Graduate Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,POINT (-73.9955133 40.7498341),,,,Link NYC,,,information,,,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,POINT (-73.9952618 40.7494955),,,,LinkNYC,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,POINT (-73.9949554 40.7499163),,,,LinkNYC,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,POINT (-73.9955476 40.7491203),,,,Link NYC,,,information,,,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,POINT (-73.9950996 40.7497424),,,,LinkNYC,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,POINT (-73.9964486 40.7478584),,,,LinkNYC,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,POINT (-73.9960052 40.748474),,,,Link NYC,,,information,,,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,POINT (-73.994323 40.7461557),,,,LinkNYC,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,POINT (-73.991802 40.7491613),,,,LinkNYC,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,no,,,,,,,,,,,,,,,,LinkNYC,,,,,,,,terminal,,,,,,,phone,Q19880795,en:LinkNYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,POINT (-73.9989137 40.7198375),,,,The SoLita SoHo Hotel,,,hotel,,,,,,,,,,,,,,,,https://www.solitasohohotel.com/,,,,159,10013,Grand Street,-4736,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4521,,,,,,,,,,,,,,thesolitahotel,SolitaSohoHotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,POINT (-73.9817831 40.7694168),,,,The Duo,,,artwork,,,,,,,,,,,,David Hostetler,sculpture,,2006,https://www.davidhostetler.com/product/the-duo1/,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5235159,,,,,en:David Hostetler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,POINT (-73.9473441 40.7644073),,,,,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,POINT (-73.984223 40.7702525),,,,,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fordham University,,,,,,,,board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,POINT (-73.9968271 40.7170446),,,,Martos Gallery,,,gallery,,,,,,,,,,,,,,,,https://www.martosgallery.com/,,,,,,,-1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,POINT (-73.9850044 40.7549607),,,,The Guardians: Hero,,,artwork,,,,,,,,,,,,Antonio Pio Saracino,sculpture,,,,,,stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,POINT (-73.9669537 40.7790315),,,,,,,viewpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,POINT (-74.0103752 40.7380001),,,,,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,POINT (-74.0106409 40.7336737),,,,,,,artwork,,,,,,bicycle_parking,,,,,,,sculpture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,POINT (-74.0094876 40.7250131),,,,,,,artwork,,,,,,,,,,,,,installation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,POINT (-74.00214 40.718348),,,,Walker Hotel Tribeca,,,hotel,,,,,,,,,,,,,,,,https://www.walkerhotels.com/walker-hotel-tribeca,,,,77,10013,Walker Street,-8946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker Hotels,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
